iter	Passed	Remaining
0	449	449270
1	900	449131
2	1552	515877
3	2198	547319
4	2761	549595
5	3196	529523
6	3637	515995
7	4097	508138
8	4597	506282
9	5518	546316
10	6197	557219
11	6732	554277
12	7364	559161
13	8092	569971
14	8756	575014
15	9619	591572
16	10370	599642
17	10916	595546
18	11588	598355
19	12398	607532
20	13018	606915
21	13830	614838
22	14663	622873
23	15407	626556
24	16125	628890
25	16646	623603
26	17144	617845
27	17811	618300
28	18281	612127
29	18758	606527
30	19449	607965
31	20076	607305
32	20653	605199
33	21381	607473
34	22016	607032
35	22562	604171
36	23095	601106
37	23648	598687
38	24252	597607
39	24921	598116
40	25637	599669
41	26140	596242
42	26855	597684
43	27431	596009
44	28141	597221
45	28759	596454
46	29396	596063
47	30031	595618
48	30639	594648
49	31292	594557
50	31950	594528
51	32579	593942
52	33044	590441
53	33728	590870
54	34501	592805
55	35383	596458
56	36161	598243
57	36935	599882
58	37787	602681
59	38522	603513
60	39322	605304
61	40084	606443
62	40891	608180
63	41683	609624
64	42670	613796
65	43615	617219
66	44213	615692
67	45083	617906
68	45874	618978
69	46714	620633
70	47417	620439
71	48237	621732
72	48860	620464
73	49580	620430
74	50456	622300
75	51428	625260
76	52149	625120
77	52737	623379
78	53304	621433
79	54011	621130
80	54812	621887
81	55758	624218
82	56406	623190
83	57042	622035
84	57848	622716
85	58597	622765
86	59333	622658
87	60176	623648
88	60892	623297
89	61713	623991
90	62413	623445
91	63335	625095
92	64057	624730
93	64868	625217
94	65549	624443
95	66263	623982
96	66789	621766
97	67369	620073
98	67869	617678
99	68426	615841
100	69217	616103
101	69995	616234
102	70826	616806
103	71364	614833
104	72028	613957
105	72635	612608
106	73237	611225
107	73842	609882
108	74618	609953
109	75346	609620
110	76162	609983
111	76809	608990
112	77540	608658
113	78185	607652
114	79059	608416
115	79746	607722
116	80622	608462
117	81345	608022
118	81994	607031
119	82778	607044
120	83330	605351
121	83888	603721
122	84397	601762
123	84888	599699
124	85434	598042
125	85836	595407
126	86367	593689
127	87218	594173
128	87744	592445
129	88368	591386
130	89033	590608
131	89855	590865
132	90641	590875
133	91340	590301
134	92010	589547
135	92616	588389
136	93224	587246
137	93738	585527
138	94392	584688
139	95309	585473
140	96143	585726
141	96919	585613
142	97625	585070
143	98293	584300
144	99032	583947
145	99867	584155
146	100377	582465
147	101027	581587
148	101551	580003
149	102105	578595
150	102737	577641
151	103495	577396
152	104232	577022
153	104870	576104
154	105567	575514
155	106276	574981
156	106909	574042
157	107488	572816
158	108174	572170
159	108724	570803
160	109350	569843
161	109951	568763
162	110507	567452
163	111098	566331
164	111752	565536
165	112502	565220
166	113095	564124
167	113645	562816
168	114262	561848
169	114948	561218
170	115517	560021
171	116136	559076
172	116705	557894
173	117415	557388
174	118314	557769
175	118897	556655
176	119582	556026
177	120152	554862
178	120726	553722
179	121224	552243
180	121827	551250
181	122329	549810
182	122961	548957
183	123475	547588
184	124019	546354
185	124615	545360
186	125237	544482
187	125928	543901
188	126678	543577
189	127219	542357
190	128019	542239
191	128883	542386
192	129486	541426
193	130187	540881
194	130672	539443
195	131244	538368
196	131874	537541
197	132527	536802
198	133070	535625
199	133720	534882
200	134361	534104
201	135055	533537
202	135564	532239
203	136414	532285
204	137156	531899
205	137747	530928
206	138286	529764
207	138904	528904
208	139619	528417
209	140216	527482
210	140810	526537
211	141351	525399
212	142010	524704
213	142654	523957
214	143460	523799
215	144299	523754
216	144861	522701
217	145485	521879
218	146101	521029
219	146880	520758
220	147515	519976
221	148237	519498
222	148798	518459
223	149410	517601
224	150024	516752
225	150690	516083
226	151478	515827
227	152213	515389
228	153063	515336
229	154016	515621
230	154933	515775
231	155732	515527
232	156672	515740
233	157493	515554
234	158321	515386
235	159188	515340
236	160126	515514
237	161027	515558
238	161809	515218
239	162441	514398
240	163160	513852
241	163737	512862
242	164574	512688
243	165171	511761
244	165879	511178
245	166841	511375
246	167357	510202
247	168141	509848
248	168846	509251
249	169890	509672
250	170723	509448
251	171501	509061
252	172286	508687
253	173185	508646
254	173911	508095
255	174822	508078
256	175534	507479
257	176267	506939
258	177252	507121
259	178030	506702
260	178650	505832
261	179424	505400
262	180175	504901
263	180962	504500
264	181585	503644
265	182307	503059
266	183099	502667
267	183699	501746
268	184468	501288
269	185007	500205
270	185806	499825
271	186507	499182
272	187641	499690
273	188313	498960
274	189001	498275
275	189896	498134
276	190798	498004
277	191488	497318
278	192195	496677
279	192767	495688
280	193771	495806
281	194557	495362
282	195265	494719
283	196154	494531
284	197251	494859
285	197757	493701
286	198692	493615
287	199450	493085
288	200379	492974
289	201330	492912
290	202177	492591
291	202735	491564
292	203513	491072
293	204128	490187
294	205129	490225
295	205927	489773
296	206579	488973
297	207460	488716
298	208001	487654
299	208701	486969
300	209568	486671
301	210289	486034
302	211529	486587
303	212245	485930
304	212847	485012
305	213633	484515
306	214327	483807
307	215114	483310
308	215828	482645
309	216419	481708
310	217311	481439
311	217999	480716
312	218974	480623
313	219876	480367
314	220493	479486
315	221320	479061
316	222039	478401
317	222725	477669
318	223323	476749
319	224131	476280
320	224902	475727
321	225534	474883
322	226540	474824
323	227315	474274
324	227934	473403
325	228918	473284
326	230064	473497
327	230757	472770
328	231618	472388
329	232547	472142
330	233271	471476
331	234060	470940
332	235054	470814
