iter	Passed	Remaining
0	205	205278
1	245	122258
2	276	91813
3	310	77423
4	342	68077
5	365	60517
6	374	53145
7	402	49878
8	434	47849
9	465	46046
10	491	44195
11	524	43187
12	542	41170
13	581	40981
14	635	41701
15	655	40286
16	687	39761
17	721	39354
18	734	37901
19	797	39074
20	850	39659
21	888	39505
22	939	39913
23	987	40158
24	1021	39847
25	1056	39576
26	1100	39647
27	1130	39249
28	1175	39348
29	1220	39451
30	1258	39331
31	1268	38372
32	1302	38165
33	1334	37923
34	1378	38005
35	1408	37711
36	1431	37265
37	1465	37099
38	1499	36946
39	1534	36823
40	1571	36768
41	1600	36502
42	1644	36603
43	1661	36097
44	1694	35951
45	1726	35814
46	1760	35694
47	1794	35584
48	1821	35353
49	1856	35268
50	1896	35280
51	1941	35391
52	1952	34888
53	1997	34995
54	2029	34863
55	2050	34566
56	2081	34429
57	2100	34121
58	2121	33843
59	2154	33750
60	2196	33819
61	2252	34078
62	2297	34176
63	2332	34114
64	2356	33903
65	2389	33809
66	2417	33663
67	2429	33295
68	2460	33200
69	2492	33116
70	2529	33093
71	2558	32975
72	2586	32844
73	2609	32658
74	2640	32563
75	2662	32367
76	2696	32324
77	2731	32292
78	2770	32297
79	2780	31980
80	2790	31661
81	2823	31613
82	2865	31660
83	2905	31680
84	2954	31806
85	2997	31861
86	3032	31828
87	3070	31819
88	3104	31776
89	3140	31749
90	3150	31469
91	3173	31323
92	3201	31226
93	3228	31115
94	3274	31195
95	3319	31263
96	3368	31358
97	3393	31237
98	3445	31357
99	3481	31335
100	3523	31366
101	3545	31215
102	3580	31177
103	3619	31182
104	3655	31160
105	3679	31032
106	3705	30925
107	3732	30828
108	3767	30798
109	3801	30759
110	3831	30686
111	3859	30598
112	3895	30577
113	3931	30558
114	3969	30549
115	4033	30735
116	4082	30809
117	4120	30799
118	4159	30791
119	4192	30745
120	4199	30503
121	4238	30503
122	4266	30417
123	4300	30378
124	4320	30244
125	4354	30206
126	4392	30194
127	4408	30033
128	4436	29952
129	4442	29729
130	4476	29698
131	4522	29735
132	4564	29757
133	4602	29745
134	4633	29688
135	4655	29574
136	4686	29521
137	4717	29469
138	4728	29291
139	4760	29240
140	4776	29097
141	4810	29067
142	4844	29034
